accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.28,-0.51,0.40,62.87,38.51,-112.30,20.04,-71.95,-77.38
0.18,-0.34,0.75,152.28,-62.38,17.27,18.74,-63.26,-74.14
-0.44,-1.09,0.87,-45.41,-21.55,-97.29,14.84,-64.87,-74.94
-0.12,-1.00,0.55,38.57,80.69,-50.35,14.04,-64.15,-78.80
-0.02,-0.59,0.30,101.44,29.97,22.03,14.87,-60.21,-79.48
-0.55,-0.93,0.84,158.08,-195.31,-48.52,9.32,-52.29,-73.80
-0.17,-1.35,0.47,57.31,123.66,120.30,16.10,-51.04,-74.87
-0.23,-1.54,0.50,-210.94,-178.89,-219.54,4.63,-60.09,-74.10
0.02,-1.33,0.88,39.92,34.91,5.55,5.32,-58.41,-75.18
-0.23,-0.54,-0.01,-98.02,-93.63,-47.73,2.56,-63.30,-72.96
-0.01,-1.55,0.66,126.34,-69.15,-42.97,-0.35,-58.36,-71.39
0.13,-0.87,-0.05,43.09,96.50,14.89,1.84,-57.96,-74.35
-0.31,-1.47,0.74,-8.12,-198.91,-207.28,-8.97,-58.65,-71.92
0.09,-0.93,0.08,159.18,-88.56,77.45,-8.24,-54.00,-67.05
0.22,-0.80,0.48,-60.36,-72.88,-36.93,-11.29,-56.87,-65.43
-0.20,-0.95,0.32,-4.58,152.47,110.72,-3.44,-57.26,-68.06
-0.44,-0.87,0.49,-70.07,-106.87,-16.97,-4.22,-60.25,-65.01
-0.34,-1.27,0.84,127.81,142.03,107.18,3.05,-54.98,-67.50
-0.71,-0.81,0.60,-125.31,-127.08,-252.50,-6.93,-59.88,-68.66
0.33,-1.05,0.94,-68.30,189.03,-51.15,-5.28,-61.32,-76.34
-0.29,-0.77,0.28,-51.51,108.64,98.51,1.16,-63.61,-78.38
-0.32,-0.89,0.81,-65.06,13.73,-21.67,1.16,-65.61,-79.24
-0.29,-0.73,-0.23,145.20,0.06,-83.92,-1.06,-61.22,-80.73
-0.71,-0.76,0.85,-66.04,-171.14,-7.45,-3.32,-63.37,-74.83
-0.13,-0.70,0.50,125.37,131.90,0.55,-0.28,-57.87,-79.42
-0.12,-0.64,0.76,-94.60,-237.30,-46.81,-6.36,-61.37,-72.18

