accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.85,0.19,0.60,-9.09,-5.74,-9.83,29.66,6.17,-21.33
-0.84,0.17,0.60,-9.70,-6.16,-11.17,30.37,5.81,-21.70
-0.85,0.17,0.60,-8.97,-6.16,-10.56,31.08,5.46,-22.08
-0.84,0.18,0.61,-8.30,-5.98,-10.86,31.73,5.15,-22.47
-0.84,0.19,0.59,-8.67,-6.16,-11.54,32.38,4.85,-22.85
-0.84,0.19,0.60,-9.28,-7.93,-11.29,32.93,4.52,-23.23
-0.85,0.18,0.59,-9.09,-6.47,-10.93,33.54,4.20,-23.59
-0.85,0.19,0.58,-9.40,-6.23,-11.72,34.15,3.89,-23.96
-0.84,0.18,0.59,-9.34,-6.10,-11.17,34.71,3.56,-24.32
-0.84,0.17,0.59,-9.83,-6.16,-11.66,35.25,3.20,-24.70
-0.84,0.18,0.58,-8.91,-6.04,-10.74,35.75,2.92,-25.02
-0.85,0.19,0.59,-9.28,-6.53,-11.60,36.23,2.62,-25.36
-0.85,0.19,0.57,-9.34,-6.29,-10.86,36.74,2.35,-25.66
-0.84,0.19,0.59,-10.19,-7.45,-12.15,37.14,2.02,-26.02
-0.86,0.18,0.59,-9.70,-6.29,-11.60,37.59,1.70,-26.35
-0.85,0.18,0.60,-8.97,-5.80,-11.23,38.03,1.42,-26.66
-0.84,0.18,0.58,-9.22,-6.35,-11.23,38.43,1.16,-26.96
-0.82,0.18,0.58,-10.56,-7.57,-10.31,38.74,0.87,-27.20
-0.86,0.20,0.59,-9.64,-7.57,-10.62,39.08,0.65,-27.43
-0.85,0.18,0.60,-11.05,-6.53,-10.13,39.41,0.35,-27.66
-0.81,0.17,0.61,-11.66,-12.88,-9.46,39.70,0.06,-27.87
-0.83,0.19,0.61,-8.48,-5.37,-10.31,40.03,-0.09,-28.07
-0.85,0.19,0.61,-9.40,-5.62,-11.41,40.34,-0.33,-28.33
-0.83,0.19,0.60,-10.19,-6.16,-11.78,40.61,-0.59,-28.59
-0.83,0.19,0.61,-8.24,-7.08,-11.72,40.83,-0.75,-28.83
-0.85,0.18,0.61,-9.16,-6.77,-11.05,41.06,-0.97,-29.06
-0.84,0.18,0.60,-9.16,-6.41,-11.84,41.31,-1.19,-29.32
-0.83,0.20,0.60,-9.09,-9.09,-12.45,41.42,-1.38,-29.57
-0.84,0.20,0.61,-9.83,-7.20,-11.72,41.61,-1.55,-29.77
-0.83,0.19,0.61,-9.89,-7.02,-11.90,41.79,-1.77,-30.00
-0.83,0.19,0.62,-9.34,-6.65,-10.74,41.95,-1.93,-30.17
-0.84,0.19,0.61,-8.79,-6.84,-11.41,42.12,-2.06,-30.36
-0.83,0.19,0.61,-9.89,-6.04,-11.66,42.32,-2.28,-30.58
-0.83,0.20,0.60,-8.54,-6.47,-11.41,42.50,-2.38,-30.74
-0.84,0.18,0.61,-10.38,-6.29,-12.57,42.68,-2.63,-30.99
-0.82,0.18,0.59,-9.28,-5.68,-11.47,42.87,-2.79,-31.18
-0.83,0.18,0.60,-9.70,-5.86,-11.35,43.01,-2.92,-31.36
-0.83,0.19,0.59,-9.64,-6.65,-11.90,43.19,-3.07,-31.53
-0.84,0.19,0.60,-9.95,-7.57,-11.96,43.30,-3.23,-31.70
-0.84,0.19,0.61,-8.97,-7.26,-11.29,43.41,-3.34,-31.84
-0.83,0.20,0.59,-10.13,-5.98,-11.41,43.58,-3.45,-31.96
-0.84,0.19,0.61,-9.46,-6.59,-11.66,43.70,-3.58,-32.11
-0.84,0.18,0.61,-9.40,-6.35,-12.02,43.84,-3.73,-32.29
-0.85,0.19,0.60,-8.85,-5.80,-10.74,44.00,-3.80,-32.39
-0.83,0.19,0.60,-8.79,-6.59,-11.54,44.11,-3.87,-32.51
-0.84,0.19,0.61,-9.09,-6.29,-11.17,44.22,-3.94,-32.61
-0.83,0.19,0.60,-9.22,-6.53,-11.11,44.32,-4.03,-32.72
-0.83,0.19,0.60,-9.28,-5.80,-11.54,44.44,-4.14,-32.85
-0.84,0.18,0.59,-9.28,-6.71,-11.47,44.55,-4.25,-32.98
-0.84,0.18,0.59,-9.28,-6.35,-11.60,44.67,-4.36,-33.11
-0.83,0.19,0.59,-9.89,-6.90,-11.60,44.75,-4.48,-33.23
-0.82,0.19,0.61,-10.19,-7.02,-11.29,44.79,-4.59,-33.32
-0.84,0.18,0.60,-8.36,-6.59,-11.17,44.88,-4.65,-33.42
-0.82,0.20,0.60,-9.03,-6.10,-10.80,44.98,-4.66,-33.46
-0.84,0.18,0.61,-9.34,-6.90,-12.82,45.02,-4.82,-33.65
-0.84,0.19,0.60,-8.97,-6.04,-11.35,45.12,-4.88,-33.74
-0.83,0.19,0.60,-9.89,-6.71,-12.21,45.19,-4.99,-33.87
-0.83,0.20,0.60,-9.46,-6.35,-11.35,45.25,-5.04,-33.95
-0.83,0.18,0.60,-6.47,-5.86,-9.09,45.34,-4.91,-33.91
-0.82,0.20,0.61,-7.51,-5.98,-9.70,45.40,-4.79,-33.86
-0.84,0.20,0.60,-7.14,-5.25,-8.61,45.52,-4.62,-33.76
-0.83,0.19,0.61,-7.81,-5.92,-9.40,45.59,-4.55,-33.74
-0.82,0.20,0.60,-7.20,-4.88,-9.22,45.70,-4.41,-33.67
-0.82,0.18,0.61,-6.59,-5.74,-9.34,45.75,-4.32,-33.66
-0.73,0.20,0.72,-40.53,-55.79,11.96,43.58,-4.51,-32.18
-0.83,0.26,0.60,10.31,-15.26,-41.87,43.26,-4.73,-33.79
-0.76,-0.25,0.66,-27.10,0.37,11.11,43.50,-5.99,-33.60
-0.84,0.27,0.57,87.52,65.67,49.99,46.68,0.42,-30.19
-0.70,-0.02,0.78,-1.59,-61.89,-0.98,44.03,0.22,-30.33
-0.49,0.03,0.95,-18.86,-26.92,-12.02,42.29,-0.94,-30.95
-0.47,-0.12,0.88,-21.12,1.59,6.23,41.79,-1.86,-30.82
-0.53,-0.14,0.92,-14.47,-9.77,-7.20,40.91,-3.02,-31.41
-0.47,-0.08,0.94,-12.76,-35.46,-6.59,38.91,-3.75,-31.69
-0.42,-0.14,1.01,-33.81,69.95,44.01,41.17,-3.97,-29.76
-0.64,0.03,0.86,-21.36,-41.81,-9.46,39.29,-4.79,-29.92
-0.47,0.02,0.92,-4.15,3.23,-7.81,38.91,-4.95,-30.17
-0.51,0.03,0.92,-11.47,-5.43,-8.06,38.27,-5.35,-30.36
0.10,0.13,1.05,3.78,-112.24,-11.11,32.24,-4.65,-30.06
-0.27,0.11,1.01,-21.79,44.56,-5.86,33.32,-5.26,-30.25
-0.49,0.06,0.94,-9.58,7.32,-10.74,33.34,-5.57,-30.59

