accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
0.28,-1.15,0.16,149.23,-6.71,-162.11,-5.25,-48.04,-6.05
0.36,-1.16,0.14,-116.21,-130.37,80.14,-6.48,-54.55,0.18
0.17,-1.11,0.07,89.29,-127.56,-207.21,-16.26,-52.01,-0.54
0.23,-1.05,0.14,48.65,-96.31,53.28,-16.83,-52.52,4.33
0.20,-0.88,0.08,-82.40,-3.78,-15.75,-17.35,-56.97,4.44
0.15,-1.14,0.20,81.54,17.76,43.15,-15.19,-54.75,5.11
0.13,-0.91,0.10,-109.62,-160.95,-47.49,-19.93,-61.67,10.09
0.18,-1.20,0.17,195.86,-14.16,-9.83,-20.16,-54.78,10.69
0.20,-1.02,0.15,-144.47,-56.88,24.11,-20.21,-62.50,13.64
0.21,-1.14,0.15,168.64,72.81,-57.01,-20.34,-55.23,10.04
0.11,-1.46,0.24,-289.61,-44.13,26.67,-19.64,-68.51,12.51
0.15,-1.00,0.03,94.67,-98.39,-181.76,-27.42,-65.90,13.71
0.17,-1.34,0.22,-52.92,148.32,199.65,-17.06,-67.68,11.47
0.02,-0.93,0.15,-170.96,-111.02,-8.18,-18.10,-76.31,15.89
0.32,-1.21,0.15,190.19,74.28,55.48,-14.97,-68.34,13.73
0.27,-1.25,0.17,-203.55,-146.55,28.56,-15.41,-78.62,20.00
0.27,-1.24,0.00,270.20,-46.39,-139.04,-21.12,-68.37,20.35
0.21,-1.34,0.11,9.09,-47.67,146.73,-15.86,-69.95,24.65
0.06,-0.75,0.16,-14.22,22.16,-118.41,-19.55,-70.05,22.18
0.21,-1.34,0.25,-135.38,-41.20,106.93,-15.51,-76.70,25.20
-0.01,-0.82,0.09,-96.92,2.87,-133.73,-20.08,-80.45,24.04
0.23,-1.33,0.19,79.35,22.64,115.17,-14.88,-77.15,23.92
-0.02,-0.82,0.10,-63.60,-125.12,-160.52,-21.49,-81.14,27.88
0.13,-1.36,0.18,189.39,10.38,121.28,-16.07,-73.85,28.60
0.03,-1.05,0.14,-92.71,-92.10,-84.84,-19.64,-78.78,31.60
0.21,-1.18,0.18,94.79,88.26,173.10,-11.81,-74.60,29.72
-0.20,-0.94,0.23,-171.63,78.06,-141.66,-15.67,-80.43,25.31
-0.07,-0.61,0.43,240.30,-150.02,118.41,-11.75,-71.48,32.20
0.27,-0.17,0.90,-1.53,-36.50,158.57,-6.66,-70.14,35.28
0.21,-0.20,0.87,34.24,3.97,85.21,-3.82,-66.99,36.14
0.49,0.31,0.84,-6.35,-28.87,-18.37,-5.93,-65.26,36.75
0.43,0.26,0.81,7.45,26.73,-61.71,-8.62,-62.63,34.46
-0.57,0.37,0.59,145.32,-233.40,-434.27,-26.66,-54.79,33.26
-0.64,0.16,0.71,4.21,-23.32,11.90,-25.14,-53.33,33.65
-0.66,0.15,0.76,4.33,-13.43,-8.48,-24.07,-51.55,33.19
-0.80,0.19,0.89,33.08,4.09,16.78,-21.76,-48.72,32.89
0.29,-1.86,1.20,-451.48,198.30,297.42,-7.23,-66.89,32.51
0.43,-0.82,-0.11,87.95,-66.28,-11.96,-9.56,-64.66,34.87
0.09,-0.42,0.45,11.96,-107.85,-104.13,-15.13,-63.76,36.86
0.22,-1.11,0.21,-118.90,10.99,154.30,-9.16,-69.55,39.08
0.00,-0.63,0.63,116.52,189.33,-53.71,-7.76,-62.78,31.08
-0.28,-0.25,0.72,27.83,-5.00,68.24,-4.48,-60.32,32.38
0.01,0.41,0.83,10.19,26.92,-86.18,-6.83,-57.36,29.49
-0.65,0.11,0.79,141.05,63.29,-114.07,-7.90,-49.24,25.05
-0.83,-0.04,0.73,1.28,-15.56,25.27,-5.71,-48.23,26.06
0.45,-0.83,1.01,-354.49,171.57,80.14,0.25,-61.84,22.31
0.24,-0.94,0.18,-15.32,86.61,48.58,3.00,-63.13,20.13
-0.12,-0.55,0.36,46.57,104.61,83.98,8.17,-61.22,17.99
-0.37,-1.48,0.32,84.47,3.97,152.77,13.73,-57.90,20.90
-0.16,-0.16,0.90,-126.34,-95.70,208.07,18.85,-58.98,29.22
0.07,0.47,0.76,11.54,-76.84,-226.56,9.43,-56.75,27.72
-0.24,0.34,0.95,-11.54,-9.40,-7.14,9.40,-54.99,28.24
-0.28,0.32,0.97,-9.64,-10.68,-12.21,9.24,-53.23,28.67
-0.76,-2.15,0.86,-427.73,-57.25,-147.40,3.40,-70.86,27.80
-0.20,-1.15,0.15,-40.47,-93.93,174.74,9.08,-72.25,33.56
-0.25,-1.57,-0.12,454.96,214.72,-279.91,2.82,-56.41,21.00
-0.39,-0.58,0.42,-121.46,50.84,-4.94,4.68,-61.24,19.11
-0.59,-1.86,0.51,-441.53,-120.30,222.60,11.75,-78.22,26.54
-0.62,-0.26,0.67,111.39,-59.20,188.17,19.59,-70.99,31.35
-0.40,0.38,0.93,-25.57,-24.84,-24.54,19.15,-69.54,32.76
-0.49,0.48,0.88,16.05,25.45,38.45,21.97,-66.86,33.10
0.14,0.34,1.02,57.07,29.48,31.98,23.26,-62.36,33.44

