accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
0.01,0.76,0.82,18.92,-64.76,-97.35,11.48,-37.46,-23.03
-0.46,0.81,0.59,39.73,0.92,99.98,14.74,-33.00,-19.24
-0.39,0.39,0.96,-176.82,145.14,-22.89,19.34,-39.51,-23.16
-0.28,-0.87,0.21,259.89,123.66,-153.02,19.75,-33.32,-31.92
-0.84,-1.04,0.37,-69.64,4.82,140.32,23.87,-35.45,-27.47
-0.56,-0.50,0.91,-190.25,-88.62,34.42,22.15,-41.38,-23.81
-0.67,-0.39,0.73,-1.10,-37.96,35.52,22.61,-40.13,-21.40
-0.68,0.13,0.78,20.94,-30.21,47.18,23.75,-36.89,-18.39
-0.07,0.65,0.87,16.42,-67.14,14.89,21.74,-33.02,-15.23
0.76,0.71,0.75,-15.38,-160.46,76.90,16.48,-29.70,-8.26
0.03,0.80,-0.46,-47.42,-84.29,-86.49,12.32,-30.74,-9.25
-0.93,0.23,-0.36,-159.79,-18.37,-98.27,11.72,-37.71,-12.27
-0.75,0.19,0.79,-238.95,-42.05,253.30,18.34,-43.56,-3.03
0.25,0.54,0.87,-13.37,-1.77,-2.50,17.51,-41.84,-2.36
0.26,0.54,0.87,-3.54,-6.23,-4.27,16.48,-39.76,-1.67
0.14,0.49,0.87,4.09,17.94,-18.13,16.05,-37.70,-2.11
-0.50,0.46,-0.56,195.68,102.72,64.09,22.60,-29.87,-2.13
0.19,0.49,-0.10,115.36,-220.70,361.76,20.06,-17.03,16.38
0.48,0.07,0.95,96.62,19.17,-84.47,18.27,-13.60,12.94
0.05,0.42,0.95,-11.47,-29.11,-22.34,16.27,-12.80,12.75
-0.28,0.39,0.83,112.30,28.63,-93.38,16.84,-8.09,9.11
-0.47,0.26,0.91,-14.04,-24.60,-124.27,15.56,-9.16,4.40
-0.50,-0.02,1.01,-10.99,-20.26,-35.83,14.95,-9.66,3.15
-0.40,0.29,0.91,10.86,67.44,10.50,18.03,-8.21,3.41
-0.40,0.13,0.97,-22.95,-14.89,-7.81,17.59,-8.59,3.37
-0.31,0.03,1.02,-8.61,20.14,-10.50,18.29,-8.70,2.93
-0.41,0.11,0.97,32.78,-6.90,56.58,18.50,-6.06,5.52
-0.43,0.19,0.95,-8.48,-3.72,-8.42,18.56,-5.84,5.40
-0.42,0.17,0.94,-14.04,7.87,-8.36,19.08,-5.94,5.20
-0.37,0.14,0.97,-10.25,-26.06,-8.79,18.05,-5.91,5.11
-0.26,0.15,1.01,-5.07,-28.14,-11.60,16.76,-5.66,4.93
-0.13,0.15,1.05,-3.11,-17.76,-10.01,15.65,-5.31,4.74
-0.25,0.19,1.03,-7.63,15.50,-6.41,16.18,-5.08,4.59
-0.48,0.20,0.91,-13.43,-1.95,-11.47,16.51,-5.12,4.30
-0.43,0.16,0.96,-20.20,-11.23,-13.43,16.32,-5.53,3.94
-0.37,0.06,0.99,-6.90,-14.22,-11.41,15.88,-5.58,3.62
-0.17,0.06,1.03,-5.92,-43.03,-15.50,13.86,-5.58,3.25
-0.04,0.07,1.04,-2.93,8.73,-26.55,13.64,-5.57,2.23
-0.17,0.86,0.40,-20.87,109.56,147.46,18.71,-2.73,8.43
0.08,0.51,0.76,38.15,-98.33,-226.68,13.63,-2.37,-0.34
-0.66,0.68,0.60,-14.40,-2.69,24.11,14.56,-1.22,1.02
-1.02,-0.16,0.84,-292.72,700.07,157.35,43.61,-11.45,4.30
0.30,-1.00,-0.10,97.90,92.22,116.52,47.26,-6.55,7.86
-0.63,-0.42,0.86,223.57,4.27,-20.51,46.93,0.50,5.93
-0.33,0.96,0.19,118.65,-62.26,-23.62,44.61,7.11,6.58
-0.63,0.46,-0.42,40.83,-158.75,25.94,39.97,10.61,7.97
1.23,0.04,-0.97,9.22,460.82,-7.02,57.30,15.94,14.21
-0.22,0.90,-0.10,-9.95,-34.42,-109.37,57.01,12.44,9.14
-0.44,0.51,0.94,2.38,7.51,159.12,54.12,22.45,20.79
-0.87,0.04,0.93,30.88,77.51,-50.05,57.33,21.65,18.74
-0.48,0.56,0.54,227.42,-120.73,106.20,50.28,33.97,22.24
-0.81,0.04,0.46,-108.64,148.56,-112.49,58.05,27.51,20.09
-1.30,-0.78,0.01,330.69,-55.24,-250.67,61.66,21.02,-1.94
-0.85,-0.46,0.27,165.41,3.72,292.54,56.49,42.37,15.91
2.22,0.73,-0.00,66.59,-224.79,160.22,44.11,44.04,14.19
0.35,0.39,0.65,-145.39,298.16,58.65,48.56,48.20,28.42
0.30,0.50,0.84,-4.46,-18.68,-17.03,46.53,45.96,26.24
0.33,0.49,0.82,-1.28,15.50,0.06,44.95,45.56,26.30
0.09,0.09,1.09,-184.45,-30.52,15.87,42.20,35.98,24.55
0.15,-0.59,1.21,154.54,21.61,-24.29,42.61,39.18,22.36
-0.70,0.49,0.72,-17.21,60.00,-167.91,48.35,34.24,16.59
-0.46,0.12,0.97,-15.56,-41.93,-14.77,46.50,30.72,13.49
-0.44,0.16,1.01,6.10,25.09,-7.57,46.71,30.09,13.03
0.54,0.58,0.69,33.51,99.91,197.14,43.20,40.47,25.46
0.33,0.21,1.01,30.09,99.61,10.86,44.07,43.00,28.53
-0.92,-0.10,0.92,79.90,-7.93,-46.63,45.51,42.88,25.09
-0.70,0.97,0.07,160.34,-226.32,-33.51,39.90,44.32,16.48
-0.92,-0.40,0.77,-159.12,268.13,240.54,41.30,48.44,34.18
-1.62,-0.53,-0.21,215.15,-197.27,72.33,36.20,53.29,28.56
-0.29,0.79,0.15,-250.31,279.17,116.70,38.55,53.47,43.97
-0.46,-0.16,0.46,-215.45,-69.58,79.83,35.15,42.88,42.68

